Organization Group,Department,Total Compensation
Community Health,Public Health,96190.19
Culture & Recreation,Law Library,188424.36
Culture & Recreation,Academy of Sciences,107319.73
Culture & Recreation,Arts Commission,94339.6
Culture & Recreation,War Memorial,76250.07
Culture & Recreation,Asian Art Museum,71401.52
Culture & Recreation,Public Library,70446.35
Culture & Recreation,Fine Arts Museum,44205.44
Culture & Recreation,Recreation and Park Commission,38912.86
General Administration & Finance,City Attorney,166082.68
General Administration & Finance,Retirement System,117717.66
General Administration & Finance,General Services Agency - Technology,110783.68
General Administration & Finance,Mayor,110765.39
General Administration & Finance,Controller,104515.23
General Administration & Finance,Ethics Commission,98631.38
General Administration & Finance,Assessor/Recorder,89994.26
General Administration & Finance,City Planning,89022.88
General Administration & Finance,General Services Agency - City Admin,86123.55
General Administration & Finance,Treasurer/Tax Collector,85449.25
General Administration & Finance,Board of Supervisors,78801.35
General Administration & Finance,Health Service System,70016.07
General Administration & Finance,Human Resources,69729.72
General Administration & Finance,Civil Service Commission,67966.76
General Administration & Finance,Elections,20493.17
General City Responsibilities,General Fund Unallocated,15824.15
Human Welfare & Neighborhood Development,Rent Arbitration Board,102181.79
Human Welfare & Neighborhood Development,Child Support Services,100044.07
Human Welfare & Neighborhood Development,Children and Families Commission,96575.37
Human Welfare & Neighborhood Development,Environment,75360.39
Human Welfare & Neighborhood Development,"Children, Youth & Their Families",74304.93
Human Welfare & Neighborhood Development,Human Services,65945.33
Human Welfare & Neighborhood Development,Human Rights Commission,55672.51
Human Welfare & Neighborhood Development,Department of the Status of Women,47968.52
Human Welfare & Neighborhood Development,Community Investment & Infrastructure,42864.06
Human Welfare & Neighborhood Development,Homelessness and Supportive Housing,40771.13
Public Protection,Fire Department,180788.09
Public Protection,Public Defender,147552.19
Public Protection,Police,141263.7
Public Protection,District Attorney,141215.38
Public Protection,Sheriff,140381.59
Public Protection,Department of Emergency Management,127421.75
Public Protection,Adult Probation,100179.76
Public Protection,Superior Court,99315.45
Public Protection,Juvenile Probation,78586.83
"Public Works, Transportation & Commerce",Port,112139.68
"Public Works, Transportation & Commerce",Department of Building Inspection,112051.62
"Public Works, Transportation & Commerce",PUC Water Department,109806.59
"Public Works, Transportation & Commerce",PUC Wastewater Enterprise,108963.59
"Public Works, Transportation & Commerce",Economic and Workforce Development,106112.41
"Public Works, Transportation & Commerce",PUC Hetch Hetchy,105280.82
"Public Works, Transportation & Commerce",PUC Public Utilities Commission,103433.59
"Public Works, Transportation & Commerce",Municipal Transportation Agency,99471.11
"Public Works, Transportation & Commerce",Airport Commission,96191.58
"Public Works, Transportation & Commerce",General Services Agency - Public Works,89741.68
"Public Works, Transportation & Commerce",Board of Appeals,51990.63
"Public Works, Transportation & Commerce",PUC Clean Power,30940.47
